"","politician","polltype","subgroup","start_date","end_date","pollster_rating_name","sample_size","raw_sample_size","population","weight","approve","disapprove","approve_adjusted","disapprove_adjusted","tracking","url","poll_id","question_id","created_at","timestamp","pollster_rating_id","subpopulation"
"24","Donald Trump",NA,NA,"1/9/21","1/14/21","SSRS",1003,NA,"a",NA,34,62,NA,NA,NA,"http://cdn.cnn.com/cnn/2021/images/01/17/rel1a.-.trump,.impeachment.pdf",74208,139232,"1/17/21 08:46",NA,297,NA
"25","Donald Trump",NA,NA,"1/8/21","1/14/21","Morning Consult",31920,NA,"rv",NA,35,59,NA,NA,TRUE,"https://morningconsult.com/form/global-leader-approval/",74239,139386,"1/21/21 10:31",NA,218,NA
"26","Donald Trump",NA,NA,"1/11/21","1/13/21","Marist College",1173,NA,"a",NA,38,57,NA,NA,NA,"http://maristpoll.marist.edu/wp-content/uploads/2021/01/NPR_PBS-NewHour_Marist-Poll_USA-NOS-and-Tables_2101141333.pdf#page=3",74217,139265,"1/19/21 08:56",NA,183,NA
"27","Donald Trump",NA,NA,"1/11/21","1/13/21","Marist College",1012,NA,"rv",NA,40,55,NA,NA,NA,"http://maristpoll.marist.edu/wp-content/uploads/2021/01/NPR_PBS-NewHour_Marist-Poll_USA-NOS-and-Tables_2101141333.pdf#page=3",74217,139266,"1/19/21 08:56",NA,183,NA
"28","Donald Trump",NA,NA,"1/10/21","1/13/21","ABC News/The Washington Post",1002,NA,"a",NA,37.58,60.18,NA,NA,NA,"https://www.washingtonpost.com/context/jan-10-13-2021-washington-post-abc-news-poll/ab470cba-8e05-4692-af78-4949613740cc/",74203,139225,"1/15/21 08:38",NA,3,NA
"29","Donald Trump",NA,NA,"1/10/21","1/13/21","Hart Research Associates/Public Opinion Strategies",1000,NA,"rv",NA,43,55,NA,NA,NA,"https://beta.documentcloud.org/documents/20457943-210016-nbc-news-january-poll-1-17-21-release",74209,139245,"1/17/21 09:22",NA,221,NA
"30","Donald Trump",NA,NA,"1/7/21","1/13/21","Morning Consult",31920,NA,"rv",NA,35,58,NA,NA,TRUE,"https://morningconsult.com/form/global-leader-approval/",74238,139385,"1/21/21 10:31",NA,218,NA
"31","Donald Trump",NA,NA,"1/10/21","1/12/21","Rasmussen Reports",1500,NA,"lv",NA,46,53,NA,NA,TRUE,"https://www.rasmussenreports.com/public_content/politics/trump_administration/trump_approval_index_history",74192,139162,"1/13/21 09:22",NA,277,NA
"32","Donald Trump",NA,NA,"1/10/21","1/12/21","YouGov",1500,NA,"a",NA,39,55,NA,NA,NA,"https://docs.cdn.yougov.com/4yijjbkc2z/econTabReport.pdf",74193,139178,"1/13/21 14:06",NA,391,NA
"33","Donald Trump",NA,NA,"1/10/21","1/12/21","YouGov",1293,NA,"rv",NA,41,55,NA,NA,NA,"https://docs.cdn.yougov.com/4yijjbkc2z/econTabReport.pdf",74193,139179,"1/13/21 14:06",NA,391,NA
"34","Donald Trump",NA,NA,"1/8/21","1/12/21","Ipsos",1399,NA,"a",NA,34,61,NA,NA,NA,"https://www.ipsos.com/en-us/reutersipsos-core-political-survey-presidential-approval-tracker-01142021",74202,139223,"1/14/21 14:54",NA,154,NA
"35","Donald Trump",NA,NA,"1/8/21","1/12/21","Ipsos",1163,NA,"rv",NA,35,63,NA,NA,NA,"https://www.ipsos.com/en-us/reutersipsos-core-political-survey-presidential-approval-tracker-01142021",74202,139224,"1/14/21 14:54",NA,154,NA
"36","Donald Trump",NA,NA,"1/8/21","1/12/21","Pew Research Center",5630,NA,"a",NA,29,68,NA,NA,NA,"https://www.pewresearch.org/politics/2021/01/15/biden-begins-presidency-with-positive-ratings-trump-departs-with-lowest-ever-job-mark/",74206,139229,"1/15/21 10:05",NA,253,NA
"37","Donald Trump",NA,NA,"1/6/21","1/12/21","Morning Consult",31920,NA,"rv",NA,36,57,NA,NA,TRUE,"https://morningconsult.com/form/global-leader-approval/#section-61",74200,139209,"1/14/21 10:02",NA,218,NA
"38","Donald Trump",NA,NA,"1/8/21","1/11/21","Morning Consult",1996,NA,"rv",NA,34,63,NA,NA,NA,"https://www.politico.com/f/?id=00000176-f32a-d46c-a176-fbbf71f60000",74166,139106,"1/11/21 16:59",NA,218,NA
"39","Donald Trump",NA,NA,"1/8/21","1/11/21","Morning Consult",2200,NA,"a",NA,35,61,NA,NA,NA,"https://assets.morningconsult.com/wp-uploads/2021/01/11174040/210134_crosstabs_MC_TECH_SOCIAL_MEDIA_Adults_v1.pdf",74169,139111,"1/12/21 09:07",NA,218,NA
"40","Donald Trump",NA,NA,"1/8/21","1/11/21","Harris Insights & Analytics",2854,NA,"rv",NA,44,56,NA,NA,NA,"https://thehill.com/hilltv/what-americas-thinking/533892-poll-presidential-approval-among-gop-voters-drops-10-points",74190,139160,"1/12/21 15:39",NA,133,NA
"41","Donald Trump",NA,NA,"1/8/21","1/11/21","Global Strategy Group/GBAO (Navigator Research)",1000,NA,"rv",NA,36,61,NA,NA,NA,"https://navigatorresearch.org/wp-content/uploads/2021/01/Navigator-Topline-01.13.21.pdf",74191,139161,"1/13/21 09:20",NA,413,NA
"42","Donald Trump",NA,NA,"1/8/21","1/11/21","Morning Consult",1996,NA,"rv",NA,34,63,NA,NA,NA,"https://assets.morningconsult.com/wp-uploads/2021/01/19074924/210135_crosstabs_MC_WASHINGTON_RVs_v1.pdf",74220,139285,"1/19/21 09:09",NA,218,NA
"43","Donald Trump",NA,NA,"1/7/21","1/11/21","Rasmussen Reports",1500,NA,"lv",NA,49,50,NA,NA,TRUE,"https://www.rasmussenreports.com/public_content/politics/trump_administration/trump_approval_index_history",74170,139114,"1/12/21 09:18",NA,277,NA
"44","Donald Trump",NA,NA,"1/5/21","1/11/21","Morning Consult",31920,NA,"rv",NA,37,57,NA,NA,TRUE,"https://morningconsult.com/form/global-leader-approval/#section-61",74199,139208,"1/14/21 10:01",NA,218,NA
"45","Donald Trump",NA,NA,"1/9/21","1/10/21","Data for Progress",1129,NA,"lv",NA,42,58,NA,NA,NA,"https://www.dataforprogress.org/blog/2021/1/12/a-majority-of-voters-want-to-impeach-president-trump",74184,139137,"1/12/21 13:02",NA,522,NA
"46","Donald Trump",NA,NA,"1/8/21","1/10/21","Morning Consult",2200,NA,"a",NA,36,60,NA,NA,NA,"https://assets.morningconsult.com/wp-uploads/2021/01/11130718/210120_crosstabs_CORONAVIRUS_CONTENT_Adults_v1_LM.pdf",74167,139108,"1/11/21 19:49",NA,218,NA
"47","Donald Trump",NA,NA,"1/7/21","1/10/21","Quinnipiac University",1239,NA,"rv",NA,33,60,NA,NA,NA,"https://poll.qu.edu/poll-release?releaseid=3733",74165,139105,"1/11/21 13:00",NA,267,NA
"48","Donald Trump",NA,NA,"1/6/21","1/10/21","Rasmussen Reports",1500,NA,"lv",NA,48,51,NA,NA,TRUE,"https://www.rasmussenreports.com/public_content/politics/trump_administration/trump_approval_index_history",74164,139104,"1/11/21 09:02",NA,277,NA
"49","Donald Trump",NA,NA,"1/4/21","1/10/21","Morning Consult",31920,NA,"rv",NA,38,56,NA,NA,TRUE,"https://morningconsult.com/form/global-leader-approval/#section-61",74198,139207,"1/14/21 10:01",NA,218,NA
"50","Donald Trump",NA,NA,"1/3/21","1/9/21","Morning Consult",31920,NA,"rv",NA,39,55,NA,NA,TRUE,"https://morningconsult.com/form/global-leader-approval/#section-61",74197,139206,"1/14/21 10:01",NA,218,NA
"51","Donald Trump",NA,NA,"1/6/21","1/8/21","Morning Consult",2200,NA,"a",NA,38,57,NA,NA,NA,"https://assets.morningconsult.com/wp-uploads/2021/01/08160937/210116_crosstabs_MC_FINANCE_BITCOIN_Adults_v1-2.pdf",74163,139102,"1/11/21 08:45",NA,218,NA
"52","Donald Trump",NA,NA,"1/6/21","1/8/21","TIPP Insights",1163,NA,"rv",NA,42,52,NA,NA,NA,"https://projects.fivethirtyeight.com/polls/20210117_US_IBD.pdf",74212,139260,"1/17/21 13:37",NA,144,NA
"53","Donald Trump",NA,NA,"1/2/21","1/8/21","Morning Consult",31920,NA,"rv",NA,40,55,NA,NA,TRUE,"https://morningconsult.com/form/global-leader-approval/#section-61",74196,139205,"1/14/21 10:01",NA,218,NA
"54","Donald Trump",NA,NA,"1/7/21","1/7/21","Marist College",875,NA,"a",NA,38,58,NA,NA,NA,"http://maristpoll.marist.edu/wp-content/uploads/2021/01/PBS-NewsHour_Marist-Poll_USA-NOS-and-Tables_202101081001.pdf#page=3",74160,139092,"1/8/21 18:49",NA,183,NA
"55","Donald Trump",NA,NA,"1/7/21","1/7/21","Marist College",831,NA,"rv",NA,39,58,NA,NA,NA,"http://maristpoll.marist.edu/wp-content/uploads/2021/01/PBS-NewsHour_Marist-Poll_USA-NOS-and-Tables_202101081001.pdf#page=3",74160,139093,"1/8/21 18:49",NA,183,NA
"56","Donald Trump",NA,NA,"1/6/21","1/7/21","Morning Consult",1986,NA,"rv",NA,38,60,NA,NA,NA,"https://assets.morningconsult.com/wp-uploads/2021/01/07135439/210121_crosstabs_POLITICO_RVs_v1.pdf",74108,138995,"1/7/21 14:36",NA,218,NA
